"Oid";"ClasseOid";"DataNascita";"Sesso";"Cittadinanza";"PEI";"PDB";"Anno";"Classe";"Settore";"StatusFinale.x";"StatusFinale_prec";"Docenti";"DocentiRuolo";"Matematica_finale";"Italiano_finale";"Inglese_finale";"MediaFinale";"MediaFinaleClass";"MediaFinale_prec";"MediaFinaleClass_prec";"assenze21";"assenze41";"note_merito21";"note_merito41";"note_impegno21";"note_impegno41";"note_disciplinari21";"note_disciplinari41";"ritardi21";"ritardi41";"mate_media1";"mate_media2";"mate_media3";"mate_media4";"mate_media5";"mate_media6";"mate_media7";"mate_media8";"mate_media9";"mate_media10";"mate_media11";"mate_media12";"mate_media13";"mate_media14";"mate_media15";"mate_media16";"mate_media17";"mate_media18";"mate_media19";"mate_media20";"mate_media21";"mate_media22";"mate_media23";"mate_media24";"mate_media25";"mate_media26";"mate_media27";"mate_media28";"mate_media29";"mate_media30";"mate_media31";"mate_media32";"mate_media33";"mate_media34";"mate_media35";"mate_media36";"mate_media37";"mate_media38";"mate_media39";"mate_media40";"mate_media41";"Matematica_finale_prec";"Italiano_finale_prec";"Inglese_finale_prec";"no_mate_1";"no_mate_2";"no_mate_3";"no_mate_4";"no_mate_5";"no_mate_6";"no_mate_7";"no_mate_8";"no_mate_9";"no_mate_10";"no_mate_11";"no_mate_12";"no_mate_13";"no_mate_14";"no_mate_15";"no_mate_16";"no_mate_17";"no_mate_18";"no_mate_19";"no_mate_20";"no_mate_21";"no_mate_22";"no_mate_23";"no_mate_24";"no_mate_25";"no_mate_26";"no_mate_27";"no_mate_28";"no_mate_29";"no_mate_30";"no_mate_31";"no_mate_32";"no_mate_33";"no_mate_34";"no_mate_35";"no_mate_36";"no_mate_37";"no_mate_38";"no_mate_39";"no_mate_40";"no_mate_41";"mate_primo_quad";"varianza1718";"varianza41";"varianza21";"perc_doc_ruolo";"Cittadinanza_bin";"StatusFinale_bin_prec";"StatusFinale_bin";"rischio";"assenze_perc21";"assenze_perc41"
"19431467-9874-4a87-b1d9-863ae47256ba";"21576f87-af5c-44f4-b86f-560733e44a52";0;0;"ITALIA";0;0;3;"C3 A";"Liceo Classico Paritario";"P2";"P1";15;12;8;9;9;8,77777777777778;9;9,18181818181818;9;10;59;1;1;0;0;0;0;4;7;0;0;0;8,5;8,5;8,5;8,5;8,5;8,5;8,5;7,75;7,75;7,75;7,75;7,75;7,75;7,75;7,75;7,75;7,75;7,91666666666667;7,91666666666667;7,91666666666667;7,91666666666667;7,91666666666667;7,91666666666667;7,91666666666667;7,91666666666667;7,4375;7,4375;7,4375;7,4375;7,4375;7,4375;7,4375;7,4375;7,4375;7,4375;7,4375;7,4375;7,4375;9;8;9;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0,675;1,34895833333333;1,125;0,8;1;1;0;3;0,0952380952380952;0,28780487804878
"195b45f9-a5e6-4cc7-9608-c8fc2584f463";"20ac3d06-ec49-491e-95b0-a592075a1b6c";0;0;"ITALIA";0;0;4;"I4 A";"Liceo Internazionale per l'Intercultura";"P1";"P1";22;18;6;6;8;7,33333333333333;7;6,9375;7;4;12;0;0;4;7;0;1;6;12;0;6;6;6;6;5;5;5;5;5;5,3;5,3;5,3;5,25;5,71428571428571;5,71428571428571;5,71428571428571;5,71428571428571;5,71428571428571;5,71428571428571;5,96875;5,96875;5,675;5,675;5,675;5,70454545454545;5,70454545454545;5,85416666666667;5,85416666666667;6;5,85714285714286;5,85714285714286;5,85714285714286;5,85714285714286;5,85714285714286;5,76666666666667;5,76666666666667;5,75;5,75;5,75;5,75;6;6;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2,0077380952381;2,125;2,1547619047619;0,818181818181818;1;1;1;2;0,0380952380952381;0,0585365853658537
"1b08114c-93c9-4f54-a359-dea53dae9ce5";"934d9f66-cce7-4e03-8d3a-9be969847be3";-1;1;"ITALIA";0;1;2;"SU2 A";"Liceo Scienze Umane Paritario";"P1";"P1";19;15;7;8;9;8,54545454545454;9;8,27272727272727;8;6;11;1;2;0;0;0;0;0;2;0;0;0;0;6,5;6,5;6,5;6,5;6,5;6,5;6,125;6,25;6,25;6,25;6,3125;6,3125;6,3125;6,3125;6,3125;6,3125;6,3125;6,3125;6,3125;6,25;6,25;6,25;6,25;6,25;6,60714285714286;6,60714285714286;6,60714285714286;6,60714285714286;6,60714285714286;6,60714285714286;6,60714285714286;6,60714285714286;6,60714285714286;6,65625;6,65625;6,65625;6,65625;7;8;9;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2,43923611111111;0,481026785714286;0,140625;0,789473684210526;1;1;1;2;0,0571428571428571;0,0536585365853659
"1c6a0a14-9203-4ae8-8a2a-7b5350278263";"9622be00-6b4b-48d2-bd78-34267c9c1e4f";0;0;"ITALIA";0;0;2;"I2 B";"Liceo Internazionale per l'Intercultura";"P1";"P1";19;17;9;9;9;9,07142857142857;9;8,66666666666667;9;1;2;3;3;0;0;0;0;4;6;0;6,75;6,75;6,75;6,16666666666667;6,3125;6,3125;6,3125;6,3125;6,6;6,6;6,6;6,95833333333333;6,95833333333333;6,95833333333333;6,78125;6,78125;6,78125;6,78125;6,78125;6,78125;6,78125;6,52777777777778;6,775;6,775;6,79545454545455;6,79545454545455;6,79545454545455;6,79545454545455;6,97916666666667;7,17307692307692;7,17307692307692;7,17307692307692;7,17307692307692;7,17307692307692;7,25;7,25;7,25;7,25;7,25;7,25;7;8;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0,864880952380952;2,33928571428571;1,66852678571429;0,894736842105263;1;1;1;3;0,00952380952380952;0,00975609756097561
"1d33fd66-778d-4f35-b09c-6ac17fcf6675";"20ac3d06-ec49-491e-95b0-a592075a1b6c";0;1;"ITALIA";0;0;4;"I4 A";"Liceo Internazionale per l'Intercultura";"P1";"P1";22;18;8;8;8;8,52941176470588;9;8,25;8;6;10;0;0;2;4;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;6,5;6,5;7,875;7,875;7,75;7,75;7,75;7,75;7,75;7,75;7,75;7,8125;7,8125;7,8125;7,75;7,75;7,75;7,75;7,75;7,75;7,75;7,75;7,75;7,92857142857143;7,92857142857143;7,92857142857143;7,92857142857143;7,92857142857143;7,92857142857143;7,92857142857143;7;7;8;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1,50069444444444;0,889880952380952;1,9375;0,818181818181818;1;1;1;3;0,0571428571428571;0,0487804878048781
"1d544291-e1bf-4242-b21d-0b14a32931a2";"3bf3b42c-a5c8-43bc-8656-4837e2a22c62";0;0;"ITALIA";0;0;3;"I3 B";"Liceo Internazionale per l'Intercultura";"P1";"P1";25;19;7;6;9;7,66666666666667;8;7,76923076923077;8;6;11;1;1;2;3;1;1;1;5;0;0;5,5;5,5;5,5;6;6;6,33333333333333;6,33333333333333;6,33333333333333;6,33333333333333;6,4375;6,4375;6,35;6,35;6,375;6,375;6,375;6,375;6,375;6,42857142857143;6,42857142857143;6,42857142857143;6,42857142857143;6,53125;6,63888888888889;6,63888888888889;6,63888888888889;6,63888888888889;6,525;6,525;6,65909090909091;6,65909090909091;6,65909090909091;6,65909090909091;6,8125;6,8125;6,80769230769231;6,80769230769231;6,80769230769231;6,80769230769231;7;7;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2,00723684210526;0,758241758241758;0,330357142857143;0,76;1;1;1;2;0,0571428571428571;0,0536585365853659
"1e46c542-552b-4677-9178-2bd864547306";"3bf3b42c-a5c8-43bc-8656-4837e2a22c62";0;0;"ITALIA";0;0;3;"I3 B";"Liceo Internazionale per l'Intercultura";"P1";"P1";25;19;6;8;8;7,88888888888889;8;7,46153846153846;7;1;7;1;1;0;0;0;0;0;1;0;0;4;4;4;4,375;4,375;4,91666666666667;4,91666666666667;4,91666666666667;4,91666666666667;5,125;5,125;5,3;5,125;5,32142857142857;5,32142857142857;5,32142857142857;5,32142857142857;5,32142857142857;5,40625;5,40625;5,40625;5,40625;5,41666666666667;5,475;5,475;5,475;5,475;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,46153846153846;5,53571428571429;5,53571428571429;5,53571428571429;5;8;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2,28684210526316;0,673809523809524;1,01785714285714;0,76;1;1;1;2;0,00952380952380952;0,0341463414634146
"1efade4f-9d23-49da-8582-7696818d27d1";"21576f87-af5c-44f4-b86f-560733e44a52";0;1;"ITALIA";0;0;3;"C3 A";"Liceo Classico Paritario";"P1";"P1";15;12;6;7;8;7,46153846153846;7;7,72727272727273;8;11;21;1;1;0;0;0;0;4;9;0;0;0;7,5;7,5;7,5;7,5;7,5;7,5;5,75;5,75;5,75;5,83333333333333;5,83333333333333;5,83333333333333;5,83333333333333;5,83333333333333;5,83333333333333;5,83333333333333;5,83333333333333;5,5;5,5;5,5;5,6;5,6;5,6;5,6;5,6;5,6;5,33333333333333;5,33333333333333;5,5;5,5;5,5;5,5;5,5;5,71875;5,71875;5,66666666666667;5,66666666666667;5,66666666666667;7;7;9;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0,925;1,734375;3,08333333333333;0,8;1;1;1;2;0,104761904761905;0,102439024390244
"1fabe756-0bd1-4252-96ee-f4b4a03f5640";"21576f87-af5c-44f4-b86f-560733e44a52";0;1;"ITALIA";0;0;3;"C3 A";"Liceo Classico Paritario";"P1";"P1";15;12;9;8;10;9,23076923076923;9;9,18181818181818;9;0;0;1;1;0;0;0;0;0;0;0;0;0;7,5;7,5;7,5;7,5;7,5;7,5;8,375;8,375;8,375;8,375;8,375;7,91666666666667;7,91666666666667;7,91666666666667;7,91666666666667;7,91666666666667;7,91666666666667;8,1875;8,1875;8,1875;8,1875;8,1875;8,1875;8,1875;8,1875;8,35;8,41666666666667;8,41666666666667;8,41666666666667;8,41666666666667;8,41666666666667;8,41666666666667;8,41666666666667;8,57142857142857;8,57142857142857;8,57142857142857;8,57142857142857;8,57142857142857;9;8;9;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0,3;0,889880952380952;1,39583333333333;0,8;1;1;1;3;0;0
"204ccb01-06f1-41ff-8249-1ce82f4e4bc6";"278af4eb-65a2-41f6-b15a-42291d9da540";0;0;"ITALIA";0;1;5;"SU5 B";"Liceo Scienze Umane Paritario";"P1";"P1";19;15;6;6;7;7,30769230769231;7;7,30769230769231;7;2;8;1;1;0;1;0;0;1;2;0;0;0;0;0;5,5;5,5;5,5;5,5;5,5;5,5;5,75;6;6;6;6;6;6;6;6,125;6,125;6,125;5,75;5,75;5,75;5,75;5,75;5,75;5,75;5,79166666666667;5,79166666666667;5,79166666666667;5,79166666666667;5,79166666666667;5,79166666666667;5,79166666666667;5,79166666666667;5,79166666666667;5,96428571428571;5,96428571428571;5,96428571428571;7;6;7;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1,575;0,800595238095238;0,229166666666667;0,789473684210526;1;1;1;2;0,019047619047619;0,0390243902439024
