"","school_ID","stud_ID","grade","gender","immig","video_games","internet_quality","internet_availability","SCHRISK","BULLIED","BELONG","COOPAGR","TEACHSUP","FAMSUP","PERSEVAGR","ASSERAGR","EMPATAGR","EMOCOAGR","STRESAGR","CURIOAGR","math_time","study_time","MISCED","FISCED","HISCED","ESCS","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV6MATH","PV7MATH","PV8MATH","PV9MATH","PV10MATH","mate","mate9","mate3"
"19","38000337","38000030",10,0,0,1,-0.2585,5,-0.4624,0.2289,0.7356,1.3496,0.1475,-0.1994,-0.6731,0.1407,1.6416,0.4383,-0.8319,-1.0995,3,4,5,7,7,0.9118,437.335,451.207,477.283,487.694,392.522,476.137,489.161,445.843,449.755,487.12,459.4057,"2","low"
"20","38000013","38000031",10,0,0,4,-0.9762,6,0.8125,1.8223,-1.0981,-1.0063,-0.5635,-1.0322,-0.7168,-0.0934,-1.771,0.0728,0.5176,-1.3541,2,2,9,7,9,0.4865,464.467,442.524,466.184,472.075,453.007,479.323,451.242,426.771,419.104,454.645,452.9342,"2","low"
"21","38000111","38000032",10,1,0,1,-0.9437,6,NA,0.5381,-1.3057,-0.3739,0.8211,-1.7889,-0.9017,-0.8611,0.4413,-2.6471,-0.906,-1.1875,1,1,5,4,5,-1.385,501.632,428.143,461.241,465.986,429.66,496.553,437.014,471.232,499.686,487.637,467.8784,"2","low"
"22","38000051","38000033",9,1,1,5,1.5228,6,NA,-1.228,-1.338,0.711,-1.7015,-0.5578,0.8201,0.4805,-0.5946,-1.2655,0.368,0.5732,6,6,3,NA,3,-1.9994,295.144,321.507,324.216,299.354,239.739,312.556,282.615,285.967,281.622,390.724,303.3444,"1b","low"
"23","38000060","38000034",10,1,0,2,-1.1319,6,-0.4624,-1.228,0.8452,1.8696,0.4357,-0.7237,-0.6862,-0.2627,0.1541,-0.1317,1.0949,-0.431,1,3,8,8,8,0.606,584.746,644.118,610.81,577.265,614.81,592.595,595.718,589.264,562.142,650.525,602.1993,"4","medium"
"24","38000329","38000036",10,1,0,1,-0.4303,6,-0.4624,1.458,-1.585,-1.0933,-0.3322,-1.5161,0.841,-2.7292,-0.6237,-2.8958,-1.4838,1.0165,2,5,6,6,6,-0.8464,481.564,471.15,472.338,454.049,452.407,416.178,455.628,479.268,488.765,485.238,465.6585,"2","low"
"25","38000277","38000038",10,1,1,6,-0.3227,4,0.4017,0.4549,-0.9707,0.1241,-1.7015,-2.4308,-0.5198,-0.7302,0.3876,-0.6283,-1.2573,-0.4779,2,5,5,5,5,-1.3983,517.266,533.949,535.417,577.225,546.839,507.111,503.803,540.428,511.82,547.484,532.1342,"3","medium"
"26","38000068","38000039",10,1,0,1,-0.7871,5,-0.4624,-1.228,-0.7773,-0.5861,0.4357,-1.1989,-0.6068,-0.8211,-0.7771,-0.3817,-0.2388,-0.8775,2,6,9,5,9,-0.6046,548.818,546.374,530.969,576.685,574.301,546.872,557.192,585.821,502.06,511.119,548.0211,"4","medium"
"27","38000163","38000040",10,0,0,3,-0.9263,6,-0.4624,1.0459,-0.7204,-0.3176,-0.5635,-1.2188,-0.0877,1.3795,0.4837,-0.74,0.0865,-0.25,1,3,10,10,10,1.1657,701.946,657.796,661.112,640.444,675.911,649.226,600.835,626.147,609.502,634.191,645.711,"5","high"
"28","38000302","38000041",10,1,0,3,0.3623,6,1.4434,1.3022,-0.9643,0.8008,0.4357,0.2006,-0.3369,-0.8449,-0.5148,0.3072,0.0419,0.1929,3,2,4,4,4,-1.3545,447.668,342.683,389.369,426.45,406.903,435.944,445.635,404.798,410.961,399.015,410.9426,"1a","low"
"29","38000232","38000043",10,0,0,1,-0.3931,6,-0.4624,-0.4588,-1.4788,-0.5229,-0.5635,NA,-1.2116,-2.6073,-1.0385,-0.8319,-0.5259,-0.6528,3,3,2,6,6,-0.9052,452.74,423.629,496.668,426.84,428.367,456.981,474.038,501.191,437.552,502.761,460.0767,"2","low"
"30","38000068","38000045",10,0,0,2,-0.3967,6,0.8125,-0.267,-0.8221,-8e-04,1.5558,-0.9137,0.9442,0.1332,0.2657,0.7283,0.5651,0.3828,1,5,3,3,3,-1.0109,595.33,635.875,627.08,559.115,637.594,591.157,658.069,572.944,618.506,613.308,610.8978,"5","high"
"31","38000110","38000046",10,1,0,3,-0.6648,6,-0.4624,-0.3264,-0.471,-0.4698,-1.3627,-0.4047,-0.1183,0.445,-0.0318,-0.7941,0.1871,-0.0079,1,2,10,10,10,0.1651,499.331,446.222,455.431,426.198,450.604,441.52,419.514,425.01,452.42,449.459,446.5709,"2","low"
"32","38000056","38000047",10,0,0,4,0.6676,6,0.8125,-0.391,0.3249,0.0621,-0.1002,1.3818,0.2468,-0.0837,0.2916,0.036,0.7146,0.8612,3,4,6,7,7,-0.8101,484.415,472.477,455.633,473.555,484.153,490.256,490.014,459.974,498.229,493.577,480.2283,"2","low"
"33","38000315","38000048",9,0,0,4,2.8889,6,1.4434,2.156,0.7979,0.0263,-0.1002,-0.8863,-1.262,3.4121,0.4322,-0.874,0.3004,-1.7625,1,1,5,3,5,-0.5622,509.949,465.062,506.169,448.156,450.107,495.912,534.939,499.234,482.831,511.129,490.3488,"3","medium"
"34","38000019","38000049",10,0,0,3,0.6094,6,3.0521,0.8093,-0.7485,-1.2237,-2.1346,-0.665,-0.6482,-0.3934,-0.7681,-0.3004,-0.3867,-0.4095,1,1,8,7,8,-0.3468,518.306,525.46,522.671,569.702,552.963,536.731,522.038,537.358,542.144,526.284,535.3657,"3","medium"
"35","38000079","38000051",11,1,0,4,0.3623,6,-0.4624,-1.228,-0.3485,0.1806,1.5558,0.3052,0.4537,-0.4478,0.2197,1.1595,0.251,NA,3,4,6,7,7,2e-04,636.599,686.803,625.641,648.756,647.571,662.876,635.626,629.635,666.056,630.4,646.9963,"5","high"
"36","38000138","38000052",10,0,0,4,0.3623,6,-0.4624,-0.1325,-0.8721,-1.0141,0.4357,-0.6616,-0.5616,0.0104,-1.0037,-0.0238,0.4308,0.6291,1,2,10,10,10,0.9264,587.496,588.493,576.376,592.034,580.344,606.572,573.401,585.924,542.769,571.652,580.5061,"4","medium"
"37","38000123","38000053",9,0,0,5,1.3608,3,-0.4624,0.5783,-0.5902,-0.5309,-2.1346,0.6319,0.374,0.3034,0.3738,-0.9627,-0.0288,0.6645,4,3,6,5,6,-0.9933,422.622,405.15,389.398,384.84,392.779,446.935,353.301,420.819,397.555,467.036,408.0435,"1a","low"
"38","38000198","38000054",10,1,0,3,-0.2841,6,-0.4624,-1.228,1.0833,0.3317,0.4357,-0.5674,0.2719,-0.8499,0.0728,0.3814,0.2511,-0.4578,1,3,8,9,9,0.0402,496.277,504.462,492.569,527.398,471.51,477.978,520.24,487.539,527.339,493.728,499.904,"3","medium"
